trial,mse,rmse,r,rxr
1,4320.58154296875,65.7311325073242,-0.070540226995945,0.00497592333704233
2,21424.814453125,146.372177124023,-0.113748498260975,0.0129387211054564
3,2551.21875,50.5095901489258,-0.100330777466297,0.010066264308989
4,19407.533203125,139.310928344727,-0.0545020811259747,0.00297047663480043
5,24633.85546875,156.951766967773,-0.687431156635284,0.472561627626419
6,21846.65625,147.806137084961,-0.526141822338104,0.276825219392776
7,43851.125,209.406600952148,-0.504838347434998,0.254861742258072
8,25329.138671875,159.151306152344,-0.0479660034179688,0.00230073765851557
9,31159.947265625,176.52180480957,-0.133486092090607,0.0178185384720564
10,21700.37890625,147.310485839844,-0.501774549484253,0.251777678728104
11,25381.396484375,159.315399169922,-0.413232833147049,0.1707613915205
12,12591.466796875,112.211708068848,-0.109625287353992,0.012017703615129
13,12637.296875,112.415733337402,-0.138632550835609,0.0192189831286669
14,15060.6826171875,122.721969604492,-0.356618642807007,0.127176851034164
15,18682.50390625,136.683959960938,0.33807373046875,0.114293843507767
16,42029.671875,205.01139831543,-0.379088461399078,0.143708065152168
